date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here,realized_net_to_date
2023-10-11,BANKNIFTY,LONG,2023-10-11 11:20:00+05:30,44486.6,2023-10-11 11:40:00+05:30,44517.65,EARLY_EXIT,30,31.05,931.5,20.0,667.76,48.86,2.67,26.69,12.4,778.39,153.11,391278.59,391431.7,0.0,False,191431.68
2023-10-13,BANKNIFTY,SHORT,2023-10-13 14:40:00+05:30,44459.47,2023-10-13 14:55:00+05:30,44332.39,TP,30,127.09,3812.65,20.0,666.89,48.75,2.66,26.6,12.37,777.28,3035.37,391431.7,394467.07,0.0,False,194467.05
2023-10-31,BANKNIFTY,LONG,2023-10-31 10:35:00+05:30,42978.55,2023-10-31 10:40:00+05:30,42999.74,EARLY_EXIT,30,21.19,635.7,20.0,645.0,47.2,2.58,25.79,12.1,752.66,-116.96,394467.07,394350.11,0.0,False,194350.09
2023-10-31,BANKNIFTY,LONG,2023-10-31 10:55:00+05:30,43004.1,2023-10-31 11:35:00+05:30,42983.4,EARLY_EXIT,30,-20.7,-621.0,20.0,644.75,47.21,2.58,25.8,12.1,752.44,-1373.44,394350.11,392976.67,0.0,False,192976.65
2023-11-01,BANKNIFTY,SHORT,2023-11-01 12:30:00+05:30,42730.91,2023-11-01 13:17:00+05:30,42606.54,TP,30,124.37,3730.97,20.0,640.96,46.85,2.56,25.56,12.03,747.97,2983.0,392976.67,395959.68,0.0,False,195959.65
2023-11-01,BANKNIFTY,SHORT,2023-11-01 13:50:00+05:30,42683.7,2023-11-01 14:45:00+05:30,42695.8,EARLY_EXIT,30,-12.1,-363.0,20.0,640.26,46.87,2.56,25.62,12.04,747.34,-1110.34,395959.68,394849.34,0.0,False,194849.31
2023-11-09,BANKNIFTY,LONG,2023-11-09 13:20:00+05:30,43747.9,2023-11-09 13:40:00+05:30,43745.4,EARLY_EXIT,30,-2.5,-75.0,20.0,656.18,48.03,2.62,26.25,12.25,765.33,-840.33,394849.34,394009.01,0.0,False,194008.98
2023-11-10,BANKNIFTY,SHORT,2023-11-10 11:00:00+05:30,43677.7,2023-11-10 12:00:00+05:30,43684.55,EARLY_EXIT,30,-6.85,-205.5,20.0,655.17,47.96,2.62,26.21,12.23,764.19,-969.69,394009.01,393039.32,0.0,False,193039.29
2023-11-16,BANKNIFTY,LONG,2023-11-16 12:40:00+05:30,44299.9,2023-11-16 14:44:00+05:30,44405.57,TP,30,105.67,3170.12,20.0,666.08,48.7,2.66,26.58,12.37,776.39,2393.73,393039.32,395433.05,0.0,False,195433.02
2023-11-20,BANKNIFTY,LONG,2023-11-20 12:00:00+05:30,43548.2,2023-11-20 12:53:00+05:30,43668.37,TP,30,120.17,3605.1,20.0,655.03,47.88,2.62,26.13,12.22,763.87,2841.23,395433.05,398274.27,0.0,False,198274.25
2023-11-23,BANKNIFTY,LONG,2023-11-23 12:15:00+05:30,43543.15,2023-11-23 12:28:00+05:30,43614.25,TP,30,71.1,2133.0,20.0,654.21,47.85,2.61,26.13,12.21,763.02,1369.98,398274.27,399644.25,0.0,False,199644.23
2023-11-28,BANKNIFTY,LONG,2023-11-28 14:15:00+05:30,43814.2,2023-11-28 14:21:00+05:30,43849.3,TP,30,35.1,1053.0,20.0,657.74,48.13,2.63,26.29,12.26,767.05,285.95,399644.25,399930.2,0.0,False,199930.18
2023-12-06,BANKNIFTY,SHORT,2023-12-06 11:05:00+05:30,46934.85,2023-12-06 12:33:00+05:30,46831.8,TP,30,103.05,3091.5,20.0,704.02,51.48,2.81,28.1,12.87,819.28,2272.22,399930.2,402202.42,0.0,False,202202.4
2023-12-08,BANKNIFTY,LONG,2023-12-08 11:10:00+05:30,46979.93,2023-12-08 11:16:00+05:30,47103.49,TP,30,123.56,3706.65,20.0,706.55,51.65,2.82,28.19,12.9,822.11,2884.54,402202.42,405086.96,0.0,False,205086.94
2023-12-11,BANKNIFTY,LONG,2023-12-11 11:40:00+05:30,47326.6,2023-12-11 11:46:00+05:30,47374.3,TP,30,47.7,1431.0,20.0,710.61,51.99,2.84,28.4,12.96,826.8,604.2,405086.96,405691.16,0.0,False,205691.14
2023-12-15,BANKNIFTY,SHORT,2023-12-15 09:35:00+05:30,47733.99,2023-12-15 10:05:00+05:30,47796.37,SL,30,-62.38,-1871.47,20.0,716.01,52.45,2.87,28.68,13.04,833.04,-2704.51,405691.16,402986.66,0.0,False,202986.63
2023-12-18,BANKNIFTY,LONG,2023-12-18 10:20:00+05:30,47925.59,2023-12-18 12:25:00+05:30,47944.3,EARLY_EXIT,30,18.71,561.3,20.0,719.16,52.63,2.88,28.76,13.07,836.5,-275.2,402986.66,402711.46,0.0,False,202711.43
2023-12-19,BANKNIFTY,SHORT,2023-12-19 14:45:00+05:30,47982.54,2023-12-19 14:50:00+05:30,47911.71,TP,30,70.83,2124.9,20.0,719.74,52.65,2.88,28.75,13.08,837.08,1287.82,402711.46,403999.28,0.0,False,203999.25
2023-12-21,BANKNIFTY,SHORT,2023-12-21 11:25:00+05:30,47353.24,2023-12-21 12:00:00+05:30,47357.73,EARLY_EXIT,30,-4.49,-134.55,20.0,710.3,52.0,2.84,28.41,12.96,826.51,-961.06,403999.28,403038.22,0.0,False,203038.19
