date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here,realized_net_to_date
2024-06-21,NIFTY,SHORT,2024-06-21 14:20:00+05:30,23542.25,2024-06-21 14:25:00+05:30,23449.77,TP,65,92.48,6011.22,20.0,765.12,55.9,3.05,30.48,13.66,888.22,5123.0,340798.28,345921.28,0.0,False,145921.3
2024-06-27,NIFTY,LONG,2024-06-27 09:35:00+05:30,23823.31,2024-06-27 09:46:00+05:30,23877.02,TP,65,53.72,3491.48,20.0,776.0,56.74,3.1,30.97,13.81,900.63,2590.85,345921.28,348512.13,0.0,False,148512.15
2024-06-27,NIFTY,LONG,2024-06-27 11:05:00+05:30,23887.65,2024-06-27 12:12:00+05:30,23984.8,TP,65,97.15,6314.49,20.0,779.51,56.94,3.11,31.05,13.85,904.47,5410.02,348512.13,353922.15,0.0,False,153922.17
2024-06-28,NIFTY,LONG,2024-06-28 14:45:00+05:30,24082.73,2024-06-28 14:55:00+05:30,24093.24,EARLY_EXIT,65,10.51,683.15,20.0,783.03,57.31,3.13,31.31,13.91,908.69,-225.54,353922.15,353696.61,0.0,False,153696.63
2024-07-04,NIFTY,LONG,2024-07-04 11:00:00+05:30,24325.85,2024-07-04 13:45:00+05:30,24336.95,EARLY_EXIT,65,11.1,721.5,20.0,790.95,57.88,3.16,31.62,14.02,917.64,-196.14,353696.61,353500.47,0.0,False,153500.49
2024-07-11,NIFTY,SHORT,2024-07-11 10:10:00+05:30,24346.65,2024-07-11 10:13:00+05:30,24297.15,TP,65,49.5,3217.5,20.0,791.27,57.86,3.16,31.59,14.02,917.89,2299.61,353500.47,355800.08,0.0,False,155800.1
2024-07-16,NIFTY,LONG,2024-07-16 12:35:00+05:30,24630.0,2024-07-16 13:25:00+05:30,24630.4,EARLY_EXIT,65,0.4,26.0,20.0,800.49,58.6,3.2,32.02,14.15,928.45,-902.45,355800.08,354897.63,0.0,False,154897.65
2024-07-18,NIFTY,SHORT,2024-07-18 10:45:00+05:30,24644.15,2024-07-18 11:12:00+05:30,24570.32,TP,65,73.83,4799.03,20.0,800.93,58.54,3.2,31.94,14.14,928.75,3870.28,354897.63,358767.91,0.0,False,158767.93
2024-07-22,NIFTY,SHORT,2024-07-22 11:00:00+05:30,24549.75,2024-07-22 12:40:00+05:30,24469.05,TP,65,80.71,5246.1,20.0,797.87,58.31,3.19,31.81,14.1,925.27,4320.83,358767.91,363088.75,0.0,False,163088.76
2024-07-22,NIFTY,SHORT,2024-07-22 14:05:00+05:30,24516.8,2024-07-22 15:14:00+05:30,24516.7,PRE_CLOSE_FLATTEN,65,0.1,6.5,20.0,796.8,58.33,3.19,31.87,14.1,924.28,-917.78,363088.75,362170.97,0.0,False,162170.98
2024-07-24,NIFTY,SHORT,2024-07-24 09:35:00+05:30,24492.88,2024-07-24 09:38:00+05:30,24442.27,TP,65,50.61,3289.65,20.0,796.02,58.21,3.18,31.77,14.08,923.26,2366.39,362170.97,364537.36,0.0,False,164537.37
2024-07-24,NIFTY,LONG,2024-07-24 09:55:00+05:30,24462.24,2024-07-24 10:25:00+05:30,24458.2,EARLY_EXIT,65,-4.03,-262.27,20.0,794.89,58.19,3.18,31.8,14.07,922.14,-1184.41,364537.36,363352.94,0.0,False,163352.96
2024-07-24,NIFTY,LONG,2024-07-24 10:35:00+05:30,24419.63,2024-07-24 11:25:00+05:30,24426.55,EARLY_EXIT,65,6.92,449.48,20.0,793.86,58.1,3.18,31.75,14.06,920.94,-471.46,363352.94,362881.48,0.0,False,162881.5
2024-07-30,NIFTY,SHORT,2024-07-30 09:45:00+05:30,24873.26,2024-07-30 09:48:00+05:30,24830.69,TP,65,42.57,2767.05,20.0,808.38,59.12,3.23,32.28,14.24,937.26,1829.79,362881.48,364711.27,0.0,False,164711.29
2024-08-14,NIFTY,SHORT,2024-08-14 10:50:00+05:30,24152.2,2024-08-14 12:05:00+05:30,24150.15,EARLY_EXIT,65,2.05,133.25,20.0,784.95,57.46,3.14,31.4,13.94,910.88,-777.63,364711.27,363933.64,0.0,False,163933.66
2024-08-19,NIFTY,LONG,2024-08-19 11:15:00+05:30,24548.2,2024-08-19 12:25:00+05:30,24563.3,EARLY_EXIT,65,15.1,981.5,20.0,798.31,58.42,3.19,31.91,14.12,925.95,55.55,363933.64,363989.19,0.0,False,163989.21
2024-08-19,NIFTY,LONG,2024-08-19 12:35:00+05:30,24565.5,2024-08-19 13:35:00+05:30,24568.6,EARLY_EXIT,65,3.1,201.5,20.0,798.48,58.45,3.19,31.94,14.12,926.17,-724.67,363989.19,363264.52,0.0,False,163264.54
2024-08-21,NIFTY,LONG,2024-08-21 09:45:00+05:30,24692.3,2024-08-21 09:50:00+05:30,24708.02,EARLY_EXIT,65,15.72,1022.12,20.0,803.01,58.76,3.21,32.1,14.18,931.26,90.86,363264.52,363355.38,0.0,False,163355.4
2024-08-23,NIFTY,LONG,2024-08-23 13:40:00+05:30,24824.6,2024-08-23 14:24:00+05:30,24841.7,TP,65,17.1,1111.5,20.0,807.36,59.08,3.23,32.27,14.23,936.17,175.33,363355.38,363530.71,0.0,False,163530.73
2024-08-23,NIFTY,SHORT,2024-08-23 14:35:00+05:30,24837.55,2024-08-23 15:01:00+05:30,24803.65,TP,65,33.9,2203.5,20.0,807.22,59.05,3.23,32.24,14.23,935.97,1267.53,363530.71,364798.24,0.0,False,164798.26
2024-08-27,NIFTY,LONG,2024-08-27 09:50:00+05:30,25005.62,2024-08-27 10:25:00+05:30,25022.65,EARLY_EXIT,65,17.03,1106.95,20.0,813.24,59.51,3.25,32.51,14.31,942.82,164.13,364798.24,364962.37,0.0,False,164962.39
2024-08-27,NIFTY,LONG,2024-08-27 10:45:00+05:30,25010.5,2024-08-27 11:20:00+05:30,25068.48,TP,65,57.98,3768.88,20.0,814.73,59.57,3.26,32.51,14.32,944.39,2824.49,364962.37,367786.86,0.0,False,167786.88
2024-08-29,NIFTY,LONG,2024-08-29 14:50:00+05:30,25024.33,2024-08-29 14:53:00+05:30,25101.82,TP,65,77.49,5036.85,20.0,815.81,59.63,3.26,32.53,14.33,945.56,4091.29,367786.86,371878.15,0.0,False,171878.17
2024-09-02,NIFTY,LONG,2024-09-02 14:00:00+05:30,25258.2,2024-09-02 14:25:00+05:30,25267.65,EARLY_EXIT,65,9.45,614.25,20.0,821.2,60.1,3.28,32.84,14.42,951.84,-337.59,371878.15,371540.56,0.0,False,171540.58
2024-09-10,NIFTY,LONG,2024-09-10 10:20:00+05:30,24926.85,2024-09-10 11:41:00+05:30,24999.7,TP,65,72.85,4735.0,20.0,812.49,59.39,3.25,32.4,14.29,941.82,3793.18,371540.56,375333.74,0.0,False,175333.76
2024-09-11,NIFTY,LONG,2024-09-11 10:10:00+05:30,25031.25,2024-09-11 12:01:00+05:30,25100.29,TP,65,69.04,4487.72,20.0,815.76,59.63,3.26,32.54,14.33,945.52,3542.2,375333.74,378875.94,0.0,False,178875.96
2024-09-12,NIFTY,SHORT,2024-09-12 10:40:00+05:30,25018.17,2024-09-12 11:26:00+05:30,24947.15,TP,65,71.02,4616.62,20.0,813.09,59.43,3.25,32.43,14.3,942.5,3674.12,378875.94,382550.07,0.0,False,182550.08
2024-09-12,NIFTY,LONG,2024-09-12 11:35:00+05:30,24992.22,2024-09-12 12:20:00+05:30,24993.51,EARLY_EXIT,65,1.28,83.52,20.0,812.29,59.46,3.25,32.49,14.3,941.79,-858.27,382550.07,381691.8,0.0,False,181691.81
2024-09-12,NIFTY,LONG,2024-09-12 12:35:00+05:30,24992.04,2024-09-12 14:01:00+05:30,25076.52,TP,65,84.48,5491.13,20.0,814.99,59.56,3.25,32.49,14.32,944.61,4546.52,381691.8,386238.32,0.0,False,186238.33
2024-09-13,NIFTY,LONG,2024-09-13 14:35:00+05:30,25362.3,2024-09-13 14:38:00+05:30,25354.55,SL,65,-7.75,-503.75,20.0,824.02,60.33,3.3,32.97,14.46,955.08,-1458.83,386238.32,384779.49,0.0,False,184779.5
2024-09-26,NIFTY,LONG,2024-09-26 13:55:00+05:30,26085.0,2024-09-26 14:05:00+05:30,26082.64,EARLY_EXIT,65,-2.36,-153.4,20.0,847.69,62.05,3.39,33.91,14.77,981.81,-1135.21,384779.49,383644.28,0.0,False,183644.29
2024-09-26,NIFTY,LONG,2024-09-26 14:10:00+05:30,26085.87,2024-09-26 14:36:00+05:30,26146.08,TP,65,60.21,3913.67,20.0,849.75,62.13,3.4,33.91,14.78,983.97,2929.7,383644.28,386573.98,0.0,False,186573.99
2024-09-27,NIFTY,LONG,2024-09-27 12:00:00+05:30,26222.98,2024-09-27 12:40:00+05:30,26218.3,EARLY_EXIT,65,-4.68,-304.2,20.0,852.09,62.38,3.41,34.09,14.83,986.8,-1291.0,386573.98,385282.98,0.0,False,185282.99
2024-10-01,NIFTY,SHORT,2024-10-01 12:25:00+05:30,25804.31,2024-10-01 13:25:00+05:30,25809.2,EARLY_EXIT,65,-4.89,-317.85,20.0,838.64,61.39,3.35,33.55,14.65,971.59,-1289.44,385282.98,383993.54,0.0,False,183993.55
2024-10-04,NIFTY,SHORT,2024-10-04 10:10:00+05:30,25212.41,2024-10-04 10:34:00+05:30,25256.94,SL,65,-44.53,-2894.22,20.0,819.4,60.03,3.28,32.83,14.41,949.96,-3844.18,383993.54,380149.37,0.0,False,180149.37
2024-10-10,NIFTY,LONG,2024-10-10 09:55:00+05:30,25044.31,2024-10-10 11:10:00+05:30,25038.93,EARLY_EXIT,65,-5.38,-350.02,20.0,813.77,59.57,3.26,32.56,14.32,943.48,-1293.5,380149.37,378855.86,0.0,False,178855.87
2024-10-11,NIFTY,SHORT,2024-10-11 12:40:00+05:30,24961.9,2024-10-11 13:15:00+05:30,24962.05,EARLY_EXIT,65,-0.15,-9.75,20.0,811.26,59.38,3.25,32.45,14.29,940.63,-950.38,378855.86,377905.48,0.0,False,177905.49
2024-10-15,NIFTY,SHORT,2024-10-15 09:40:00+05:30,25172.3,2024-10-15 09:49:00+05:30,25116.12,TP,65,56.18,3651.98,20.0,818.1,59.82,3.27,32.65,14.37,948.2,2703.78,377905.48,380609.26,0.0,False,180609.27
2024-10-16,NIFTY,LONG,2024-10-16 09:30:00+05:30,25028.76,2024-10-16 10:25:00+05:30,25044.75,EARLY_EXIT,65,16.0,1040.0,20.0,813.95,59.56,3.25,32.54,14.32,943.63,96.37,380609.26,380705.63,0.0,False,180705.64
2024-10-18,NIFTY,SHORT,2024-10-18 11:00:00+05:30,24720.25,2024-10-18 11:30:00+05:30,24720.25,EARLY_EXIT,65,0.0,0.0,20.0,803.41,58.81,3.21,32.14,14.19,931.75,-931.75,380705.63,379773.88,0.0,False,179773.89
2024-10-21,NIFTY,SHORT,2024-10-21 09:30:00+05:30,24887.72,2024-10-21 09:38:00+05:30,24793.5,TP,65,94.22,6124.51,20.0,808.85,59.1,3.23,32.23,14.24,937.64,5186.87,379773.88,384960.75,0.0,False,184960.76
2024-10-23,NIFTY,LONG,2024-10-23 12:30:00+05:30,24541.12,2024-10-23 13:35:00+05:30,24564.01,EARLY_EXIT,65,22.89,1488.17,20.0,798.33,58.41,3.19,31.9,14.11,925.95,562.22,384960.75,385522.97,0.0,False,185522.98
2024-11-05,NIFTY,LONG,2024-11-05 09:55:00+05:30,23973.81,2024-11-05 10:39:00+05:30,23937.05,SL,65,-36.76,-2389.65,20.0,777.95,56.99,3.11,31.17,13.86,903.08,-3292.73,385522.97,382230.25,0.0,False,182230.25
2024-11-08,NIFTY,LONG,2024-11-08 09:40:00+05:30,24160.56,2024-11-08 09:46:00+05:30,24264.61,TP,65,104.04,6762.76,20.0,788.6,57.6,3.15,31.41,13.97,914.73,5848.03,382230.25,388078.28,0.0,False,188078.28
2024-11-08,NIFTY,SHORT,2024-11-08 09:50:00+05:30,24228.17,2024-11-08 13:10:00+05:30,24165.09,EARLY_EXIT,65,63.08,4100.52,20.0,787.42,57.56,3.15,31.41,13.96,913.5,3187.02,388078.28,391265.3,0.0,False,191265.3
2024-11-12,NIFTY,SHORT,2024-11-12 09:35:00+05:30,24159.72,2024-11-12 09:55:00+05:30,24139.31,EARLY_EXIT,65,20.41,1326.65,20.0,785.19,57.45,3.14,31.38,13.94,911.1,415.55,391265.3,391680.85,0.0,False,191680.85
2024-11-14,NIFTY,SHORT,2024-11-14 10:15:00+05:30,23614.9,2024-11-14 11:13:00+05:30,23497.8,TP,65,117.1,7611.19,20.0,767.48,56.04,3.06,30.55,13.69,890.82,6720.37,391680.85,398401.23,0.0,False,198401.22
2024-11-14,NIFTY,SHORT,2024-11-14 13:30:00+05:30,23551.55,2024-11-14 15:06:00+05:30,23493.8,TP,65,57.75,3753.75,20.0,765.43,55.96,3.06,30.54,13.67,888.66,2865.09,398401.23,401266.32,0.0,False,201266.31
2024-11-18,NIFTY,SHORT,2024-11-18 13:10:00+05:30,23494.68,2024-11-18 15:14:00+05:30,23454.55,PRE_CLOSE_FLATTEN,65,40.13,2608.45,20.0,763.58,55.85,3.05,30.49,13.65,886.62,1721.83,401266.32,402988.15,0.0,False,202988.14
2024-11-29,NIFTY,SHORT,2024-11-29 10:10:00+05:30,24013.25,2024-11-29 10:25:00+05:30,23980.49,EARLY_EXIT,65,32.76,2129.08,20.0,780.43,57.09,3.12,31.17,13.88,905.69,1223.39,402988.15,404211.53,0.0,False,204211.53
2024-12-05,NIFTY,SHORT,2024-12-05 09:35:00+05:30,24522.57,2024-12-05 09:38:00+05:30,24470.43,TP,65,52.14,3389.1,20.0,796.98,58.28,3.18,31.81,14.09,924.35,2464.75,404211.53,406676.28,0.0,False,206676.28
2024-12-06,NIFTY,LONG,2024-12-06 10:20:00+05:30,24658.4,2024-12-06 11:45:00+05:30,24684.2,EARLY_EXIT,65,25.8,1677.0,20.0,802.24,58.69,3.21,32.06,14.16,930.36,746.64,406676.28,407422.92,0.0,False,207422.92
2024-12-11,NIFTY,LONG,2024-12-11 13:00:00+05:30,24640.9,2024-12-11 14:25:00+05:30,24647.95,EARLY_EXIT,65,7.05,458.25,20.0,801.06,58.63,3.2,32.03,14.15,929.08,-470.83,407422.92,406952.09,0.0,False,206952.09
2024-12-11,NIFTY,LONG,2024-12-11 14:35:00+05:30,24653.2,2024-12-11 14:40:00+05:30,24648.9,EARLY_EXIT,65,-4.3,-279.5,20.0,801.09,58.64,3.2,32.05,14.16,929.14,-1208.64,406952.09,405743.45,0.0,False,205743.45
2024-12-16,NIFTY,LONG,2024-12-16 09:40:00+05:30,24712.52,2024-12-16 10:15:00+05:30,24701.54,EARLY_EXIT,65,-10.98,-713.7,20.0,802.8,58.78,3.21,32.13,14.18,931.1,-1644.8,405743.45,404098.65,0.0,False,204098.65
2024-12-18,NIFTY,SHORT,2024-12-18 09:50:00+05:30,24378.59,2024-12-18 09:52:00+05:30,24330.99,TP,65,47.6,3093.68,20.0,792.3,57.94,3.17,31.63,14.03,919.07,2174.61,404098.65,406273.26,0.0,False,206273.26
2024-12-20,NIFTY,LONG,2024-12-20 09:35:00+05:30,23931.84,2024-12-20 09:39:00+05:30,24022.01,TP,65,90.17,5861.05,20.0,780.72,57.04,3.12,31.11,13.87,905.85,4955.2,406273.26,411228.46,0.0,False,211228.46
2024-12-31,NIFTY,SHORT,2024-12-31 12:00:00+05:30,23594.8,2024-12-31 12:20:00+05:30,23599.85,EARLY_EXIT,65,-5.05,-328.25,20.0,766.83,56.14,3.07,30.68,13.7,890.42,-1218.67,411228.46,410009.79,0.0,False,210009.79
2025-01-03,NIFTY,SHORT,2025-01-03 12:15:00+05:30,24100.88,2025-01-03 13:00:00+05:30,24083.85,EARLY_EXIT,65,17.03,1106.95,20.0,783.28,57.32,3.13,31.31,13.92,908.95,198.0,410009.79,410207.79,0.0,False,210207.79
2025-01-07,NIFTY,LONG,2025-01-07 10:10:00+05:30,23656.06,2025-01-07 10:14:00+05:30,23710.86,TP,65,54.8,3561.68,20.0,770.6,56.34,3.08,30.75,13.74,894.52,2667.16,410207.79,412874.94,0.0,False,212874.95
2025-01-09,NIFTY,LONG,2025-01-09 10:10:00+05:30,23632.48,2025-01-09 10:40:00+05:30,23623.3,EARLY_EXIT,65,-9.18,-596.7,20.0,767.76,56.21,3.07,30.72,13.72,891.48,-1488.18,412874.94,411386.76,0.0,False,211386.77
2025-01-21,NIFTY,SHORT,2025-01-21 12:10:00+05:30,23329.51,2025-01-21 12:16:00+05:30,23179.45,TP,65,150.06,9753.61,20.0,758.21,55.32,3.02,30.13,13.56,880.25,8873.36,411386.76,420260.13,0.0,False,220260.13
2025-02-01,NIFTY,SHORT,2025-02-01 14:30:00+05:30,23528.8,2025-02-01 14:40:00+05:30,23471.35,TP,65,57.45,3734.25,20.0,764.69,55.91,3.06,30.51,13.66,887.82,2846.43,420260.13,423106.56,0.0,False,223106.56
2025-02-05,NIFTY,LONG,2025-02-05 11:20:00+05:30,23719.35,2025-02-05 11:23:00+05:30,23736.75,TP,65,17.4,1131.0,20.0,771.44,56.45,3.08,30.84,13.76,895.57,235.43,423106.56,423341.99,0.0,False,223341.99
2025-02-07,NIFTY,LONG,2025-02-07 09:35:00+05:30,23603.6,2025-02-07 09:45:00+05:30,23578.86,SL,65,-24.74,-1608.09,20.0,766.31,56.12,3.07,30.68,13.7,889.89,-2497.98,423341.99,420844.0,0.0,False,220844.01
2025-02-07,NIFTY,LONG,2025-02-07 10:05:00+05:30,23579.7,2025-02-07 10:09:00+05:30,23618.25,TP,65,38.55,2505.75,20.0,767.59,56.14,3.07,30.65,13.71,891.16,1614.59,420844.0,422458.59,0.0,False,222458.6
2025-02-07,NIFTY,SHORT,2025-02-07 10:15:00+05:30,23609.98,2025-02-07 10:27:00+05:30,23501.36,TP,65,108.62,7060.52,20.0,767.32,56.04,3.06,30.55,13.69,890.66,6169.86,422458.59,428628.45,0.0,False,228628.46
2025-02-17,NIFTY,SHORT,2025-02-17 11:00:00+05:30,22887.62,2025-02-17 12:55:00+05:30,22854.3,EARLY_EXIT,65,33.33,2166.13,20.0,743.85,54.41,2.97,29.71,13.39,864.34,1301.79,428628.45,429930.24,0.0,False,229930.25
2025-02-25,NIFTY,LONG,2025-02-25 09:30:00+05:30,22551.09,2025-02-25 09:49:00+05:30,22617.82,TP,65,66.73,4337.38,20.0,735.08,53.73,2.94,29.32,13.27,854.33,3483.05,429930.24,433413.29,0.0,False,233413.3
2025-02-25,NIFTY,SHORT,2025-02-25 10:15:00+05:30,22594.25,2025-02-25 12:15:00+05:30,22574.35,EARLY_EXIT,65,19.9,1293.5,20.0,734.31,53.73,2.94,29.35,13.27,853.59,439.91,433413.29,433853.2,0.0,False,233853.21
2025-03-03,NIFTY,SHORT,2025-03-03 13:55:00+05:30,22118.54,2025-03-03 14:20:00+05:30,22117.01,EARLY_EXIT,65,1.53,99.45,20.0,718.85,52.62,2.88,28.75,13.07,836.17,-736.72,433853.2,433116.48,0.0,False,233116.49
2025-03-06,NIFTY,SHORT,2025-03-06 09:30:00+05:30,22341.61,2025-03-06 10:15:00+05:30,22338.13,EARLY_EXIT,65,3.48,226.2,20.0,726.1,53.15,2.9,29.04,13.17,844.36,-618.16,433116.48,432498.32,0.0,False,232498.33
2025-03-07,NIFTY,SHORT,2025-03-07 09:35:00+05:30,22537.35,2025-03-07 09:55:00+05:30,22528.55,EARLY_EXIT,65,8.8,572.0,20.0,732.46,53.61,2.93,29.29,13.25,851.54,-279.54,432498.32,432218.78,0.0,False,232218.79
2025-03-11,NIFTY,SHORT,2025-03-11 11:15:00+05:30,22447.1,2025-03-11 12:25:00+05:30,22449.2,EARLY_EXIT,65,-2.1,-136.5,20.0,729.53,53.4,2.92,29.18,13.21,848.25,-984.75,432218.78,431234.03,0.0,False,231234.04
2025-03-13,NIFTY,LONG,2025-03-13 11:10:00+05:30,22508.55,2025-03-13 11:25:00+05:30,22491.8,EARLY_EXIT,65,-16.75,-1088.75,20.0,730.98,53.53,2.93,29.26,13.24,849.93,-1938.68,431234.03,429295.35,0.0,False,229295.36
2025-03-25,NIFTY,LONG,2025-03-25 11:50:00+05:30,23641.65,2025-03-25 11:51:00+05:30,23625.45,SL,65,-16.2,-1053.0,20.0,767.83,56.22,3.07,30.73,13.72,891.58,-1944.58,429295.35,427350.77,0.0,False,227350.78
2025-03-25,NIFTY,LONG,2025-03-25 13:30:00+05:30,23674.57,2025-03-25 14:50:00+05:30,23693.35,EARLY_EXIT,65,18.78,1220.7,20.0,770.03,56.34,3.08,30.78,13.74,893.98,326.72,427350.77,427677.49,0.0,False,227677.5
2025-04-01,NIFTY,LONG,2025-04-01 09:30:00+05:30,23479.25,2025-04-01 10:00:00+05:30,23498.04,EARLY_EXIT,65,18.8,1222.0,20.0,763.69,55.88,3.05,30.52,13.66,886.8,335.2,427677.49,428012.69,0.0,False,228012.7
2025-04-16,NIFTY,SHORT,2025-04-16 10:15:00+05:30,23341.74,2025-04-16 11:00:00+05:30,23279.13,TP,65,62.61,4069.61,20.0,758.61,55.46,3.03,30.26,13.58,880.94,3188.67,428012.69,431201.36,0.0,False,231201.37
2025-04-17,NIFTY,SHORT,2025-04-17 10:05:00+05:30,23403.3,2025-04-17 10:30:00+05:30,23395.75,EARLY_EXIT,65,7.55,490.75,20.0,760.61,55.67,3.04,30.41,13.62,883.35,-392.6,431201.36,430808.76,0.0,False,230808.77
2025-04-22,NIFTY,LONG,2025-04-22 11:40:00+05:30,24197.4,2025-04-22 12:35:00+05:30,24181.8,EARLY_EXIT,65,-15.6,-1014.0,20.0,785.91,57.55,3.14,31.46,13.96,912.02,-1926.02,430808.76,428882.74,0.0,False,228882.75
2025-05-14,NIFTY,LONG,2025-05-14 14:40:00+05:30,24624.11,2025-05-14 15:14:00+05:30,24668.55,PRE_CLOSE_FLATTEN,65,44.44,2888.6,20.0,801.73,58.63,3.2,32.01,14.15,929.73,1958.87,428882.74,430841.61,0.0,False,230841.62
